1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
-45,-119,-124,-124,-16,-119,-6,-119,292,-124,-119,-119,-104,-124,-94,-30,6,-238,-172,2148,-119,-109,772,714,36,494,1798,95,-114,3547,3459,586,2464,2087,3738,1230,833,3723,179,1327,2832,4191,2648,2485,1582,4637,2538,4122,4187,2285,819,26,4111,3696,1768,3160,776,2772,1902,3717,5474,866,1282,-1,2971,-124,3783,4031,7447,2795,-15,2681,0,10,750,87,-31,11,-33,-26,-15,676,3774,1040,1163,1952,1861,1197,-15,3890,3618,2872,3215,3263,4235,4545,342,880,3944,8422,5692,2100,7279,6653,1797,71,4010,-124,2766,751,593,3403,91,5040,5622,3391,2501,26,3276,3430,3422,5557
-124,-124,-124,-124,-109,-50,-119,-124,761,-72,-124,-119,-114,-114,1310,-20,1669,2653,-99,770,-114,-124,1158,-9,-30,-10,-8,-2,-109,2023,2671,2103,527,1026,881,3353,2345,4078,-94,3171,2411,1545,1121,5093,385,2627,1342,1676,2573,459,4373,4833,2633,3775,3358,-124,3441,2800,2232,3961,1668,1648,2869,228,3036,2695,101,2549,1418,30,4935,1840,4949,4982,511,4074,4953,95,2816,4284,3264,5625,2509,2784,2243,1001,-15,-21,501,7124,3336,2321,2905,3877,-32,5549,3777,1823,4763,7073,4933,-12,3586,83,-124,3886,3930,3088,-24,540,5161,674,1493,1658,-6,3451,-124,-104,2703,1490,1029,4511
-63,-119,-60,-119,-15,-15,-33,-119,232,-149,-10,-119,-119,-104,1726,1581,-228,2403,1135,233,-144,-129,46,-42,-124,648,-114,87,1191,2059,-6,-119,1711,1775,1004,677,2369,2766,1984,3752,2455,2452,2185,2938,-12,653,3054,1333,1935,1627,657,-34,741,3102,1028,2287,12,2048,3441,3402,2125,-173,3276,4288,2430,-119,-6,1859,4125,976,248,3231,2771,898,359,581,6348,774,2493,3655,2422,3175,484,1310,2916,211,1540,1745,2407,3754,-24,-12,5578,-39,2345,4329,90,2471,5749,1851,1534,5967,-79,4498,3925,1070,2997,2934,5426,1716,2352,-91,3384,4640,-99,-119,-84,1223,5056,1720,8784,7040
-119,-12,-124,-213,-9,0,-9,-124,595,-66,-124,-43,118,-124,-243,-25,-173,1413,-109,-119,49,2140,681,-79,-48,30,1840,-109,3570,-94,-124,-124,1219,3666,758,4106,1296,5066,514,2896,3898,493,1155,2702,3018,3072,4060,4713,3411,4884,2330,2634,5346,2897,2,350,-10,1723,3271,3041,3504,3182,611,3166,1466,3797,4422,887,4946,2634,2014,4078,-14,1925,79,-124,1596,5784,3289,-119,4023,-51,119,1147,4380,1139,6320,5236,71,1687,4645,3031,3348,4308,3150,6188,2766,3873,5984,3441,2829,57,2330,4698,4017,-18,1160,1804,5167,4003,7142,4925,443,-21,-119,4514,-104,3030,3895,2546,1187,-33
13,-134,108,-114,-124,-1,-27,10,-114,-24,-9,11,-119,84,-104,11,1670,793,-104,-124,1847,1264,883,-119,751,1189,-3,-124,1528,-39,2104,2141,-2,3391,3241,3592,1879,2780,1741,840,1966,4180,645,3344,27,1507,3428,-39,3690,2304,4438,2219,2229,3542,1778,155,5046,2839,2575,3276,126,3638,2542,3247,2540,2425,2241,3756,966,3055,2294,962,2371,2723,3296,-33,2974,339,803,4531,2229,5481,5544,2547,4311,5928,5536,3341,1972,3244,1474,2773,6505,2968,5809,4775,642,1919,1129,7433,-18,7751,6491,4923,4103,3793,130,-18,1930,4699,2169,6429,4711,4026,2,1753,911,1425,6752,1668,3293,6954
-124,-119,-60,-124,-45,644,-114,590,-119,292,-119,-124,-34,865,-39,3014,-42,-38,-32,1341,930,639,1308,-36,3888,1611,29,3704,1328,2760,-124,2357,4750,1425,-183,1596,1746,4088,3010,1159,4712,3508,2401,2686,-27,-33,1458,2702,3308,1198,1456,3084,4127,229,-134,4588,1237,1440,2300,2315,4016,2497,2153,2456,-124,2788,4558,-6,2926,2594,5638,-7,4707,460,3266,185,4198,731,-124,3467,852,608,3932,3069,2767,2549,317,1122,3393,4737,2814,3529,1409,4378,1578,6080,6034,3701,6507,6586,1428,1617,5116,4860,4624,1722,7850,-18,3176,4553,903,6261,4842,3413,-124,6551,3200,4040,5069,3435,1960,6117
-124,-30,-124,22,92,-27,-124,-24,470,-119,-119,-124,631,-124,1636,-233,1785,282,-119,-243,13,-51,-119,-124,6,523,2097,716,3631,3016,-124,1874,1472,942,1306,1349,1248,1991,-114,1374,631,1865,1226,2160,3054,1073,1572,574,3066,8,2305,3441,-57,1,-4,-124,2329,3043,-14,3220,944,2208,2244,138,3249,-124,-124,1517,470,2944,5338,1950,2735,1469,-21,4223,1500,4,5213,3434,4864,2968,4757,2489,5448,60,2859,-1,2956,-12,4563,3413,3904,2104,3268,5695,1535,1620,2577,-15,2461,5581,5283,8000,1481,2544,1611,3176,1214,91,-31,4758,4079,4544,-119,995,714,4261,6032,5058,2479,3283
-124,-124,-4,-119,-124,-33,-243,-99,-124,-124,232,-124,450,-14,1180,-213,-203,-109,-107,-114,2872,-188,955,501,298,3031,1331,1633,2498,-119,1798,1833,4663,4554,4661,1616,2118,1990,495,2,2717,2114,3317,63,-10,3031,504,4572,2307,3132,3145,1705,2085,1884,3723,3496,2645,3064,953,3110,1031,-45,3471,4034,120,-15,5593,2558,2780,1907,4396,5415,3915,952,-1,20,-18,-41,3293,1896,3755,485,5422,3978,542,4585,822,3338,358,3731,1195,3928,472,-7,4530,335,3252,970,-28,1740,474,2362,187,2587,-15,4555,4805,5842,5295,-15,6386,574,227,6445,6209,2697,1325,-46,-30,2414,5650,4989
-36,-124,-25,-27,-124,-48,2103,4,-163,-119,-238,-124,992,-119,-119,-157,-134,3601,279,1793,161,515,-79,-119,554,2236,1170,1560,-134,-104,2658,2474,6060,1128,1087,2058,3101,-99,550,1344,4702,3543,4795,3356,3747,-124,3234,2856,-12,2477,4612,3796,3453,3256,-12,1436,2849,3146,1340,2907,4026,2165,603,2939,6522,-124,4262,-27,2326,2614,1953,2255,1138,2751,-5,-6,2359,-19,1430,4007,3652,1738,4037,1797,884,3144,1407,305,1024,2457,-119,2351,-124,5599,4313,2500,4166,428,6878,6209,7619,2993,6292,6630,690,5791,818,2528,5417,4025,3873,3046,4797,4284,-1,790,3151,3972,2960,5706,397,-38
-42,-39,-39,-18,653,1365,-46,-39,-9,4,-24,-51,-119,3521,359,-29,1470,-124,-94,2829,-139,3394,-37,439,1999,2823,1193,1317,636,-124,2656,1245,1700,-124,873,1689,1063,1196,2878,2296,3091,6061,3562,3728,1709,4012,4093,1293,3756,3865,-119,3861,3622,1628,1948,1869,1850,3778,747,611,2252,915,2134,3838,1336,3443,1466,3534,-27,2384,4013,5908,2159,2401,3957,3992,2995,562,-208,-124,750,3687,2622,2589,-3,2427,376,3729,566,5551,-119,1385,1945,2602,1284,3494,8969,-114,1938,8,-119,-124,3351,2068,985,6244,4307,5986,3602,-9,-114,5706,777,-104,7573,4340,5194,1234,1591,5544,2883,2819
