Gen,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,Max
1,-16,383,-45,-30,-5,-57,122,-9,-124,-21,-2,620,-12,-2,-46,-124,-119,-124,-91,-30,-115,-124,-15,-39,-124,-9,-60,14,-124,-119,620
2,584,31,74,-44,-24,-34,12,-15,-4,-15,-124,-12,-22,-124,-36,-52,6,17,-21,-119,-36,251,-12,-36,-208,-21,-4,-154,-119,-33,584
3,1856,297,-56,-9,-61,15,-24,-44,-33,-12,-102,-119,-119,-119,-48,-54,-159,-49,-35,-15,-51,-119,-39,22,8,-119,-33,-24,1137,-39,1856
4,631,1127,225,-49,-21,-27,-30,25,-36,-34,-6,-124,-33,10,-124,-9,-124,-7,-15,-9,6,854,13,-119,-124,-119,-124,-104,-39,-119,1127
5,-9,152,500,262,-18,-15,-21,-33,-15,142,-33,-134,-30,-3,-119,-9,523,-6,627,-124,-124,385,-12,-24,8,-119,-119,-33,-18,-119,627
6,557,572,764,1403,470,857,36,-51,2,-35,-124,-119,-124,-110,-9,-54,24,-21,-12,-119,-15,-124,119,-119,-124,100,-89,791,-18,9,1403
7,898,271,586,746,282,708,227,-94,-14,-3,-114,-119,-124,2,52,-119,-54,-42,144,908,-124,-124,0,-124,-45,-119,308,-33,507,-8,908
8,1115,1212,631,776,621,630,1577,508,834,-18,-9,13,235,-124,-104,-15,509,-119,38,-124,-3,-124,32,325,-36,616,-39,341,-119,994,1577
9,290,1456,527,485,754,540,279,914,493,-99,-12,-119,609,-124,-119,-36,-119,474,-2,505,-4,-119,-119,159,-124,614,-99,449,514,-124,1456
10,413,885,901,535,397,636,596,495,362,981,-104,28,-15,613,350,495,912,-94,407,-124,-4,-119,490,311,626,-45,-124,-119,495,230,981
11,481,583,650,714,636,745,136,613,521,-109,183,-36,-119,-119,487,-4,-119,-42,-109,-27,713,466,618,-42,787,-119,-119,-10,-39,1032,1032
12,475,1270,522,829,486,369,561,446,621,-124,-27,-15,-101,510,774,823,-24,-124,118,-193,-124,-243,-119,821,-119,-119,-124,701,-119,-124,1270
13,371,720,1942,132,778,608,541,605,414,17,-12,-11,3074,-124,-124,-109,1816,-119,200,779,-124,-119,466,-3,552,-124,515,401,565,455,3074
14,954,2941,645,849,171,466,578,589,817,-124,-124,272,-119,483,478,127,-124,10,-119,1928,754,29,518,451,987,-124,-124,-42,492,956,2941
15,1766,1153,464,757,1960,800,818,934,902,561,510,-124,717,-39,501,577,465,824,1723,860,500,452,727,647,2821,4180,-119,2431,-130,-124,4180
16,1969,1984,520,774,2862,1887,849,623,587,778,697,-124,488,555,-99,-124,593,268,615,477,660,-119,26,-13,252,-20,32,1680,452,2890,2890
17,834,1060,1729,3076,1372,528,1684,3627,996,2847,129,-74,722,1444,466,605,1443,844,2045,1365,1973,245,-109,4175,352,1223,2819,291,156,-124,4175
18,2273,257,1912,1973,883,869,506,629,513,1091,1492,270,398,1121,-124,-9,1464,-15,502,1871,3523,615,2051,-119,1434,602,1346,678,-198,465,3523
19,855,1792,2064,940,1589,620,2845,1355,1641,1102,2907,1277,1386,1068,691,-12,790,931,807,1235,2764,1001,1660,1533,-10,88,853,215,129,515,2907
20,1106,2259,4298,1546,1074,1145,3518,2365,3527,875,-18,0,115,764,1376,2405,2713,2862,975,1236,1572,-2,2105,667,1507,647,-33,-57,3854,-96,4298
21,132,1671,2549,3936,1695,2123,1275,3289,3561,1334,3704,-15,4071,1990,30,4451,970,-60,1916,3308,-119,1520,-109,1748,-124,546,1678,-42,-26,1656,4451
22,1371,690,1406,2821,2347,1465,4483,3240,3091,3166,2150,16,-109,1516,490,2381,546,-124,2460,-119,985,2405,2633,644,-119,810,2016,3783,2147,1291,4483
23,2242,1703,2284,2120,4696,3467,2021,1609,2820,36,-119,1796,1880,2266,1467,2204,1760,2677,-124,-114,3004,2373,2032,1961,2372,-54,-84,-119,2254,2075,4696
24,1011,1826,3152,1674,4306,4686,1783,1463,4218,2969,-119,910,1998,3897,789,1357,-60,3777,98,-168,-124,3226,3751,1462,-84,-119,-119,-119,-7,-104,4686
25,1290,1018,2590,3019,2858,3072,1450,3208,2941,809,2438,-119,3680,-119,2412,-21,-84,3011,2365,-243,2339,1820,3171,-18,1886,-33,1480,880,995,681,3680
