Gen,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,Max
102,988,2333,2792,1605,847,490,2102,1264,309,1334,2780,1034,2477,2090,1010,507,-114,6,-21,688,2501,-104,-54,1277,267,-109,1654,1763,-79,1699,715,303,-119,728,1994,-119,25,3403,182,199,259,2697,-39,1830,638,134,821,942,1660,951,3403
103,508,2218,2067,1653,2431,803,1262,1373,1911,2808,1122,959,1218,826,796,614,-84,-9,-109,149,-4,921,1028,-31,155,499,2162,-36,199,1248,1135,-119,3063,618,2268,1227,84,2429,87,792,1189,820,-54,-119,-24,597,-69,26,859,992,3063
104,565,748,1093,1923,2596,-89,2949,1665,3214,2508,980,1588,802,1545,842,790,237,-29,9,195,-127,30,1234,951,464,473,-36,-119,529,1280,292,964,21,2785,1562,894,1295,-119,1732,1345,1460,2877,1064,227,477,-17,7,1609,-119,46,3214
105,2393,330,2099,1594,1774,1524,1371,3808,34,1564,2702,1104,1923,3581,1563,457,2480,12,1470,-42,1645,1153,-145,1463,1775,2260,101,1659,161,578,1299,1271,199,1939,1492,7,716,-119,1988,2084,-119,705,697,1635,1498,1133,1089,3890,1849,2064,3890
106,480,2706,1566,159,2936,2896,2419,2645,1126,3246,991,3056,2031,1607,472,1244,660,1235,-5,1939,1574,499,1231,-114,1116,129,22,1269,1854,1923,-75,864,1129,1685,39,1395,-27,1060,1422,-1,547,788,838,1363,1875,155,616,946,1555,1753,3246
107,2238,1485,1338,2048,139,934,1058,3024,-69,1385,1554,2321,2031,1085,1695,961,792,274,-139,1090,1278,3584,828,7,1625,350,1275,1941,868,1081,2544,1970,1080,2705,2264,1265,123,2842,1245,2190,1688,-79,209,1420,1174,-119,45,224,148,1426,3584
108,1565,1172,1307,1640,434,1630,1619,239,845,971,359,179,1927,942,698,2748,2687,1228,629,1454,-27,29,1401,2314,3014,3945,-21,1006,1223,709,1855,1467,2159,3105,2671,2498,-124,1182,21,1566,293,76,2635,-12,749,1340,1132,1786,-33,1042,3945
109,1618,1885,1513,1357,1510,2121,1381,1672,810,1447,1751,708,784,1569,1788,2115,1045,1469,1061,124,2460,2204,244,99,1839,277,-14,967,2613,2028,1751,1767,1532,-94,1051,868,620,854,-79,202,-107,1378,1146,972,-104,1293,3050,-29,498,1952,3050
110,1222,1488,504,1690,1059,1448,1365,2896,1437,1026,1556,1098,821,966,1531,1289,468,454,-1,26,2587,1509,56,237,622,515,1944,282,2167,2227,5,59,245,458,379,-95,968,-9,97,674,-44,721,1583,1233,118,54,-109,518,838,923,2896
111,2615,1971,28,2117,2908,2268,1891,2007,1181,1598,1123,1731,1003,2552,1712,484,1497,133,84,1116,25,2029,539,2023,1019,1607,153,697,1051,2189,147,-41,-9,-39,-36,2137,1311,1928,-79,610,975,1097,-119,669,423,1032,298,19,-74,313,2908
112,1509,26,1003,1253,1291,14,1338,1512,1843,1440,1632,1745,807,485,1051,1651,-69,588,1418,130,-124,2194,1475,19,1667,26,1296,1572,-110,1944,1127,730,1870,1415,1644,2208,978,1608,1848,953,1497,2473,1109,-84,1883,1315,-63,156,2303,1505,2473
113,34,509,1483,1037,92,2502,734,1164,577,1493,1597,1334,1968,3351,2049,761,1450,1520,486,645,597,1190,4,686,-109,61,348,71,581,20,-8,29,2216,242,-94,913,953,-18,1441,970,1088,10,2153,1302,1691,1308,1172,1383,1030,1411,3351
114,116,651,2412,582,1253,996,1622,1286,1823,2624,1269,1035,2012,1085,1926,1402,287,1000,323,-109,2178,1406,1390,-48,1664,770,-1,431,22,-94,3415,158,1010,-124,90,1809,304,1468,2683,1559,617,126,1444,300,-64,-124,3053,2390,2178,2419,3415
115,820,1507,247,1759,2175,1128,2129,1923,931,1505,1652,1869,708,1852,1085,2120,760,1485,764,212,373,1555,959,793,-124,1997,-104,597,124,2102,1598,1241,745,-10,2193,743,3082,-155,-75,564,1954,1787,263,1189,2255,298,1049,263,507,542,3082
116,2970,1200,1658,570,2343,365,2188,2481,1970,517,1681,734,1568,1351,436,1831,1157,848,952,29,2264,481,226,2913,885,1012,2223,-114,340,989,145,519,19,940,-119,860,2888,615,474,3621,720,2520,258,2082,1720,-9,711,4,1971,933,3621
117,1230,591,1130,1465,1349,1585,2322,748,1334,1601,1476,1305,1758,281,2043,1297,-112,1057,153,29,118,1881,2087,24,-104,2117,1357,-117,479,609,1015,1601,1098,132,54,1618,1518,864,2228,1821,866,2459,1186,1030,3241,794,1258,-190,1089,-16,3241
118,1899,915,1621,1776,1506,2462,3042,713,1206,1438,878,2242,1822,2842,237,2281,1,1245,-104,1437,734,2239,919,-119,1576,105,1285,1847,1219,2259,1320,901,1228,1156,8,189,-1,2308,-6,963,1493,758,1985,1402,-45,1291,2460,1977,1767,1258,3042
119,737,2797,516,2333,2027,2116,513,631,1457,1393,2448,993,1956,2223,2286,1963,19,3831,588,124,783,2277,1813,-97,-20,126,936,1113,560,1801,1306,2177,-119,103,2857,-233,709,1904,726,1840,1849,1108,584,3196,-94,-99,1001,499,1272,1276,3831
120,2374,2321,1708,1540,921,1841,2637,1880,671,1471,2525,2854,963,2146,2400,1560,2015,193,1127,2150,1195,2157,1178,1635,1045,1103,1078,130,2177,1447,149,895,1646,1105,42,61,2743,904,960,756,1411,737,1405,1985,980,2579,1031,2218,180,494,2854
121,603,1205,1837,736,1115,3342,1338,1538,865,1570,1302,1084,963,2117,-59,1004,1436,1487,1907,1459,1326,194,-160,1485,1766,2044,946,395,1795,-18,1432,330,1071,1298,2329,2817,1838,965,84,301,95,675,1649,34,1334,3585,1013,2093,2097,1490,3585
122,2594,472,1293,451,1447,2290,1816,2200,3001,1550,2369,1106,3402,1297,1324,2678,1325,151,131,1810,227,319,137,1733,-79,896,1267,775,1128,941,1124,2566,307,-89,1526,690,1316,696,558,1568,1491,-16,951,4,507,348,1027,684,-124,1761,3402
123,2844,1632,1817,874,2133,1518,-69,605,2972,1332,666,310,1986,1071,1381,1267,125,103,1704,1836,159,1882,1725,1299,240,995,828,1866,467,1947,503,1727,2499,43,1035,104,-122,860,4375,30,3194,1090,1223,978,1165,574,1045,-52,880,1853,4375
124,2192,826,2424,2464,1172,1458,1224,1105,749,1860,1915,1130,1291,1017,232,1323,-1,766,97,640,489,16,227,3327,236,104,217,1161,251,1143,763,-124,1625,1,-119,525,947,2409,749,-119,1243,683,1871,486,1,150,1033,2142,1754,989,3327
125,1777,1010,2072,1938,1440,1138,1522,743,1632,1088,1646,3687,675,971,844,192,896,551,-119,-127,597,1287,931,193,-1,1235,710,2382,-114,1010,-124,-124,194,382,637,3259,87,-124,1484,934,904,2458,575,1708,36,1554,1753,2399,1359,2268,3687
126,2141,1947,1733,-77,1394,1813,1276,1411,1208,2917,2725,1231,2664,1565,1520,1243,1602,-89,1099,1925,2262,1466,1549,15,39,119,232,3406,1953,910,960,-114,1507,717,1827,1326,-124,602,848,1725,1468,-119,1020,1815,1715,522,239,-119,2480,-5,3406
127,1098,1671,225,2329,1731,982,1069,1051,495,1760,754,1014,1419,1326,1342,600,645,-99,716,1152,1203,75,2002,1524,2598,-124,2849,1549,1666,1552,1716,1829,-124,1277,1478,-19,-124,852,-109,920,560,31,1352,2143,667,325,1386,2658,1460,1947,2849
128,846,2083,129,1760,1652,1468,2023,1829,1224,1058,1393,1264,3065,1558,2642,1831,1992,149,2110,1710,1088,2793,857,1623,1713,3985,264,1541,1373,159,1963,631,1444,492,-74,1188,1597,2779,3047,917,1416,1210,2816,649,1345,615,477,2822,2059,1068,3985
129,952,535,1196,66,1121,1112,2140,1277,2078,999,24,1579,1303,3067,1972,2030,973,869,1223,710,498,1224,-124,2177,282,638,2056,1478,1325,988,36,782,1868,2971,2033,1686,857,-21,426,-79,257,76,931,472,3153,2230,39,1253,137,2642,3153
130,1576,1247,1530,1518,771,217,1359,1765,2589,1400,1311,1224,1329,473,1275,-97,389,750,2007,1570,-74,357,120,-119,2185,2129,-64,1314,1302,2296,672,88,19,-98,-124,-84,447,111,1033,1495,91,1130,506,324,1064,219,637,-31,1880,2386,2589
131,972,1880,616,209,1788,1315,1140,1239,839,1607,2302,1831,891,1873,2331,965,1148,1305,2899,14,753,1793,1445,1376,967,2260,1909,1569,471,1019,1254,1527,1639,916,1622,3181,2929,1530,1064,2440,2693,121,353,2014,1953,1037,3064,3612,263,1404,3612
132,893,1214,482,1020,2124,705,1192,1059,2243,1666,1505,300,1803,2193,1094,3114,1143,963,248,1535,1301,776,1589,864,208,918,293,1108,-124,-119,883,145,669,-114,924,724,1216,2958,1533,623,1509,1701,1136,-124,1474,3909,1648,48,695,3033,3909
133,1340,515,639,1729,694,946,1775,1763,1794,1068,1573,635,1591,740,1573,1197,626,366,1833,764,1076,1199,386,1340,614,1254,584,358,2051,1832,-124,1789,133,242,639,1140,1194,1816,1109,463,1912,2222,132,2910,51,-114,730,1116,1375,2533,2910
134,674,1234,1417,1028,2081,980,1580,1413,2207,862,1124,1618,2115,802,1916,783,1194,1579,605,1601,3367,320,1299,1118,-72,30,2970,1715,488,-89,629,133,-12,-64,1682,1493,441,1558,-74,1161,1086,665,1421,2030,1648,1112,2617,2295,1950,132,3367
135,1657,918,1168,2216,4327,1409,2311,2585,1855,2284,1893,930,2577,2368,561,2125,1152,2563,1803,2237,-84,-99,2567,2063,280,1468,1721,850,44,1128,1540,1675,925,2451,839,980,3268,1858,950,2189,683,327,1301,735,1568,535,1570,1077,1494,1237,4327
136,1666,954,1550,1287,1241,1638,907,1543,1873,1733,1584,656,1221,1752,997,2106,-298,1111,567,1163,1482,1072,897,1479,1168,825,857,36,232,1748,1517,2019,754,-119,505,1186,2006,920,12,1968,492,1896,2252,1168,1156,2231,2130,-162,1318,218,2252
137,1905,1573,924,737,1540,1453,611,3141,1646,1668,3040,1738,1097,2999,2312,1830,1323,-109,1594,1431,2013,581,964,29,-89,169,993,220,1099,1239,-119,-94,1231,631,818,849,130,653,9,709,1823,1256,313,499,2031,1041,2118,-54,1511,998,3141
138,2344,907,902,379,2092,1022,1627,279,1456,1323,1287,2899,2143,1575,531,673,470,800,1176,1987,1318,841,936,95,1357,1990,-74,-253,1370,501,-89,576,3144,1136,50,296,884,814,-69,-74,1244,-3,1902,1248,1009,267,971,244,1565,-25,3144
139,1447,4366,1806,2812,1479,2426,1880,973,-94,2112,1241,3566,1227,-89,-1,1218,1805,1815,504,1628,1049,1405,364,411,146,2228,2369,1921,1709,-39,1508,1346,413,1732,-16,2298,981,435,1470,2914,282,-30,1754,940,1984,1442,308,287,1459,814,4366
140,1224,1595,966,1422,2083,1957,265,744,1816,1473,1285,1723,1888,2741,1654,1863,129,1176,973,1100,641,2272,-94,2175,1516,1624,-119,1640,1363,1069,1047,-124,-119,1443,-84,1865,1681,2024,369,176,39,1295,-119,1203,-6,2383,1779,1823,1442,1515,2741
141,1066,2408,1187,1139,477,3863,1845,1397,500,1849,2859,2201,2628,2298,1900,3223,852,2430,845,290,1527,117,3530,1036,-62,-79,1164,1493,966,641,273,214,1708,1433,14,714,967,1105,117,1523,984,3635,-21,2157,505,1027,171,418,410,1921,3863
142,991,2511,2898,1076,2952,979,1036,1749,1446,2106,1498,775,1970,1944,934,2963,499,1152,784,6,159,363,103,294,636,-99,1074,738,1276,1039,1563,1341,1220,450,2810,2024,-69,2787,243,1244,144,523,934,837,1664,1555,1672,676,2193,1057,2963
143,438,1938,2259,611,2076,2278,1299,1589,1456,1484,1968,2874,710,3216,1637,4220,869,681,30,246,2104,1510,791,1106,590,2376,95,1024,1814,224,-84,909,85,2591,685,1516,2361,763,1521,1129,2853,222,3138,1877,832,-1,586,-124,1887,238,4220
144,1042,1504,3272,892,1109,1737,957,1057,1098,1482,1061,1835,1237,2893,1532,1772,3560,2191,843,343,1762,1099,966,128,3182,1013,137,590,780,1011,1112,-77,2244,3192,1508,-84,1537,29,541,269,1398,619,1640,1123,117,741,699,1417,2358,2306,3560
145,1618,3466,1287,823,1722,1075,1456,1092,-79,1215,1114,1594,1113,1269,674,846,-117,101,1904,2815,514,-18,566,1199,-45,624,1640,-119,1775,1526,78,545,1463,1139,113,1353,1133,116,65,1987,2316,128,1024,640,1485,1508,2387,1870,48,1298,3466
146,4485,1353,1168,2853,168,613,1765,1518,1085,3362,1837,2024,1342,1501,1856,2480,1084,2533,1213,31,248,748,1671,103,2207,942,791,1575,1092,1852,2365,129,-99,1187,2642,1452,1959,1429,1359,1578,2026,85,470,1429,2387,-33,1546,6,2099,2404,4485
147,947,3628,1647,969,1482,2212,2067,2990,888,2244,3790,1423,1255,1493,1116,46,1212,2248,341,1620,-21,402,1832,2203,1020,2900,480,1222,990,1743,2214,598,949,1353,1892,964,315,993,1879,1227,345,1783,678,244,-124,2275,1712,903,398,792,3790
148,1876,1168,1760,1410,492,2279,3406,1252,1614,1059,3280,1992,1284,1594,3110,1491,-67,-69,404,2709,1431,677,664,315,1550,-94,2122,-1,1404,629,1733,817,62,523,932,1143,514,2622,2181,1655,501,-28,967,927,2021,2260,1869,-11,1230,1747,3406
149,2748,1397,1523,1977,2599,1853,1192,887,1114,3592,594,1974,2175,1125,3090,1589,2556,592,128,-94,1797,733,1962,2285,1344,1102,935,14,23,33,1438,1373,19,3355,-52,84,1691,271,277,962,1161,-119,1356,1206,3039,2353,945,446,-94,1212,3592
150,989,451,1311,2307,1835,1917,2328,1710,2173,1850,2190,2193,1860,1012,1041,868,1627,39,-124,2176,803,1349,269,1272,2563,-33,87,1107,1484,842,1366,-109,996,1932,1632,1044,589,1286,126,132,824,2183,1816,227,-2,3430,1612,242,1922,511,3430
151,1026,1268,2288,1428,1914,816,1073,504,302,1241,1024,1598,565,2407,2068,1080,768,88,516,46,801,317,-129,2086,2196,1954,2365,1226,20,1274,7,1810,3375,1586,1332,222,-74,-84,1091,-94,935,-89,-84,742,1322,1735,34,1280,34,891,3375
