Gen,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,Max
172,3817,2304,859,2203,1333,2487,1906,3475,1286,2803,2002,2695,1135,1679,1431,585,3627,1492,1791,2471,125,14,416,3060,1103,1515,526,342,272,1420,1045,287,1230,1537,1510,1000,1490,1010,1096,-124,1968,-119,641,1736,184,2893,1996,34,2514,488,3817
173,1601,2545,681,1027,1705,1047,1081,1049,2480,880,-104,1360,986,1960,1491,926,1858,1739,912,1237,34,983,1522,6,2184,1007,1671,918,2529,877,1368,906,627,973,484,2748,43,4188,2069,1614,-124,910,1530,1681,1369,214,973,114,1519,1486,4188
174,2543,1254,1409,1041,2688,1136,1641,1290,1759,1205,2353,-69,1410,299,1852,3283,1680,1359,1251,1475,530,359,1473,2160,1723,760,1599,-28,913,-94,-21,3396,630,910,2058,482,1127,1218,2029,1977,1784,758,1859,1896,2937,1380,1165,-99,369,304,3396
175,502,2073,2851,1412,1417,1531,2628,2088,2247,752,1039,764,1659,2509,1088,2447,1765,1125,1435,-124,1181,139,69,1501,2026,1480,1383,1953,81,1200,1015,2215,742,1562,-114,2098,1312,132,1945,1026,719,3522,-42,492,1631,129,1578,-15,1581,1721,3522
176,1233,919,2874,1256,794,1818,792,1751,1801,1469,2010,1480,1013,859,1586,1885,2587,1073,1653,112,-45,1113,1491,2281,1464,696,2555,917,2684,-208,124,3525,1793,1343,2334,1824,1466,-124,2069,1761,1021,238,41,3198,1883,658,607,-124,1361,2570,3525
177,1813,1604,2153,982,1392,1283,1393,2554,3494,1784,1516,1548,1517,1485,2300,1744,1688,735,3028,3435,1176,1513,832,1004,2168,882,-124,613,1708,680,1914,837,1380,2027,2175,2511,813,33,3577,460,1214,1319,-119,672,2256,419,602,926,486,1746,3577
178,1556,3947,1446,2006,1827,1409,1480,768,1007,1159,2067,1538,1005,1461,1149,2474,1109,-8,1225,929,1508,1528,591,1042,1907,1070,966,1864,2406,2177,761,128,-119,-40,-119,516,1699,1428,1136,3502,1861,342,881,485,760,3570,2656,1126,1618,237,3947
179,3473,1972,1567,1895,1747,2779,1005,1482,1786,1274,1383,939,2198,387,1843,2027,1337,-16,1,562,2630,-59,-6,1220,2644,2564,4050,1929,1883,230,1234,3193,-124,1702,-15,-208,2591,1464,487,1643,1536,1949,1366,1950,-119,1203,1864,1279,1155,1455,4050
180,1723,1411,1200,2171,2491,1917,526,1795,1890,2043,1916,2368,1971,2861,-69,1963,976,-24,-124,1127,267,201,10,2259,1661,24,-25,-182,1978,1131,1614,2565,2322,3292,1149,985,0,1979,478,1056,1811,1870,776,2023,455,1020,623,2064,-79,39,3292
181,1129,1241,928,576,1829,1927,933,307,488,2080,1591,1042,1362,2172,2194,2072,1160,1208,1004,1857,623,1020,221,227,440,1486,1912,819,1436,1671,1260,1123,2031,982,2825,2308,1694,2124,2425,2245,1684,1366,237,3641,990,946,494,-208,2919,1405,3641
182,1883,1124,1479,2669,1953,1701,2406,1891,1196,3339,2070,1261,3156,170,1485,1930,1508,1786,-182,1269,1617,2178,-89,1520,379,95,1727,481,1221,2822,2591,1749,1210,1115,229,1453,1912,604,1815,1240,-54,1110,252,1711,159,893,419,225,1011,639,3339
183,1247,965,876,675,1884,1125,1045,1759,1728,1458,-79,1588,1852,1796,1951,2590,2726,-124,896,218,2436,872,744,1568,836,1846,3278,865,1539,1917,314,3730,-104,-12,1719,1051,2023,1067,450,14,2167,1349,1687,-119,641,2551,950,1431,13,1459,3730
184,2356,1270,1763,1050,1385,2937,578,1802,2454,1972,1619,1691,2955,1887,1587,1698,749,1837,400,470,-84,371,2067,272,875,-89,345,691,1204,2444,1386,461,497,32,1204,1748,2001,901,1352,1347,330,-119,1301,19,21,1639,-69,2079,2378,903,2955
185,1528,1065,1020,877,1678,1090,990,3547,1491,1161,1496,1528,1642,901,2143,1153,591,1864,2006,768,370,40,-1,1446,825,892,-94,1233,1525,593,1108,2380,-193,-94,119,1560,1566,29,-9,142,127,348,155,2707,1568,-119,1783,1934,244,-50,3547
186,1181,1381,1588,766,1230,1402,1142,2370,3116,2144,747,-64,2403,137,877,516,224,814,557,483,1956,1614,950,122,1590,805,-74,1643,991,31,-156,1483,1044,1967,3096,202,1599,144,29,-6,39,805,303,1554,492,1524,1450,-99,1585,1874,3116
